language_code,month_num,day_num,theme_month,category,phrase,explanation,micro_action
it,2,1,Movimento consapevole,movimento,Il movimento è medicina.,Muoversi ogni giorno aiuta le articolazioni artrosiche e le protegge in quelle sane.,Fai una breve passeggiata anche oggi.
en,2,1,Mindful movement,movement,Movement is medicine.,Moving every day helps arthritic joints and protects healthy ones.,Take a short walk today too.
de,2,1,Bewusste Bewegung,Bewegung,Bewegung ist Medizin.,Sich jeden Tag bewegen hilft arthritischen Gelenken und schützt gesunde.,Mache auch heute einen kurzen Spaziergang.
fr,2,1,Mouvement conscient,mouvement,Le mouvement est un médicament.,Se déplacer chaque jour aide les articulations arthritiques et protège les saines.,Faites une courte promenade aujourd'hui aussi.
it,2,2,Movimento consapevole,movimento,Non troppo non troppo poco.,L'equilibrio è la chiave del movimento sano a qualsiasi età.,Scegli una distanza adatta a oggi.
en,2,2,Mindful movement,movement,Not too much not too little.,Balance is the key to healthy movement at any age.,Choose a distance suited for today.
de,2,2,Bewusste Bewegung,Bewegung,Nicht zu viel nicht zu wenig.,Balance ist der Schlüssel zu gesunder Bewegung in jedem Alter.,Wähle eine für heute geeignete Distanz.
fr,2,2,Mouvement conscient,mouvement,Ni trop ni trop peu.,L'équilibre est la clé du mouvement sain à tout âge.,Choisissez une distance adaptée à aujourd'hui.
it,2,3,Movimento consapevole,movimento,La superficie conta.,Terreni morbidi proteggono le articolazioni sia malate che sane.,Scegli un percorso su erba o terra oggi.
en,2,3,Mindful movement,movement,The surface matters.,Soft terrain protects both arthritic and healthy joints.,Choose a route on grass or dirt today.
de,2,3,Bewusste Bewegung,Bewegung,Der Untergrund zählt.,Weicher Boden schützt sowohl arthritische als auch gesunde Gelenke.,Wähle heute einen Weg auf Gras oder Erde.
fr,2,3,Mouvement conscient,mouvement,La surface compte.,Les terrains mous protègent les articulations malades comme les saines.,Choisissez un parcours sur herbe ou terre aujourd'hui.
it,2,4,Movimento consapevole,movimento,Il riscaldamento non è opzionale.,Partire piano aiuta a ridurre la rigidità e previene microlesioni nel cane sano.,Inizia sempre con 2-3 minuti di passo lento.
en,2,4,Mindful movement,movement,Warm-up is not optional.,Starting slowly reduces stiffness and prevents micro-injuries in the healthy dog.,Always start with 2-3 slow minutes.
de,2,4,Bewusste Bewegung,Bewegung,Das Aufwärmen ist nicht optional.,Langsam starten reduziert Steifheit und verhindert Mikroverletzungen beim gesunden Hund.,Beginne immer mit 2-3 langsamen Minuten.
fr,2,4,Mouvement conscient,mouvement,L'échauffement n'est pas optionnel.,Partir lentement réduit la raideur et prévient les micro-blessures chez le chien sain.,Commencez toujours par 2-3 minutes lentes.
it,2,5,Movimento consapevole,prevenzione,Nuotare fa bene a tutti senza eccezioni.,L'acqua riduce il carico sulle articolazioni: ideale per l'artrosico e preventivo per il sano.,Valuta se l'idroterapia o un laghetto sono disponibili vicino a te.
en,2,5,Mindful movement,prevention,Swimming is good for everyone without exception.,Water reduces joint load: ideal for arthritic dogs and preventive for healthy ones.,Check if hydrotherapy or a lake is available near you.
de,2,5,Bewusste Bewegung,Prävention,Schwimmen ist gut für alle ohne Ausnahme.,Wasser reduziert die Gelenkbelastung: ideal für Arthritiker und präventiv für Gesunde.,Prüfe ob Hydrotherapie oder ein See in deiner Nähe verfügbar sind.
fr,2,5,Mouvement conscient,prévention,Nager est bon pour tous sans exception.,L'eau réduit la charge articulaire: idéal pour l'arthritique et préventif pour le chien sain.,Vérifiez si l'hydrothérapie ou un lac sont disponibles près de chez vous.
it,2,6,Movimento consapevole,prevenzione,I muscoli proteggono le articolazioni.,Mantenerli attivi riduce il carico sulle giunture: vale oggi e per il futuro.,Alterna riposo e piccoli movimenti durante il giorno.
en,2,6,Mindful movement,prevention,Muscles protect the joints.,Keeping them active reduces joint load: valid today and for the future.,Alternate rest and small movements during the day.
de,2,6,Bewusste Bewegung,Prävention,Muskeln schützen die Gelenke.,Sie aktiv zu halten reduziert die Gelenkbelastung: gilt heute und für die Zukunft.,Wechsle zwischen Ruhe und kleinen Bewegungen im Tagesverlauf.
fr,2,6,Mouvement conscient,prévention,Les muscles protègent les articulations.,Les maintenir actifs réduit la charge sur les articulations: valable aujourd'hui et pour l'avenir.,Alternez repos et petits mouvements dans la journée.
it,2,7,Movimento consapevole,movimento,La frequenza batte la durata.,Passeggiate brevi e frequenti sono meglio di una lunga sia per cani malati che sani.,Distribuisci il movimento in più momenti durante la giornata.
en,2,7,Mindful movement,movement,Frequency beats duration.,Short frequent walks are better than one long one for both arthritic and healthy dogs.,Spread movement across multiple moments during the day.
