language_code,month_num,day_num,theme_month,category,phrase,explanation,micro_action
it,6,1,Gestione del dolore,gestione,Il dolore si gestisce non si ignora.,Riconoscere il dolore del cane è il primo passo verso il sollievo: l'attesa peggiora sempre le cose.,Osserva oggi con attenzione i segnali di disagio del tuo cane.
en,6,1,Pain management,management,Pain is managed not ignored.,Recognising the dog's pain is the first step towards relief: waiting always makes things worse.,Observe your dog's discomfort signals carefully today.
de,6,1,Schmerzmanagement,Management,Schmerz wird behandelt nicht ignoriert.,Den Schmerz des Hundes zu erkennen ist der erste Schritt zur Linderung: Warten macht die Dinge immer schlimmer.,Beobachte heute aufmerksam die Beschwerdesignale deines Hundes.
fr,6,1,Gestion de la douleur,gestion,La douleur se gère elle ne s'ignore pas.,Reconnaître la douleur du chien est la première étape vers le soulagement: attendre aggrave toujours les choses.,Observez attentivement les signaux d'inconfort de votre chien aujourd'hui.
it,6,2,Gestione del dolore,gestione,I farmaci antidolorifici salvano la qualità di vita.,Usarli correttamente e con regolarità fa una differenza enorme sul benessere quotidiano.,Non interrompere mai la terapia senza consultare prima il veterinario.
en,6,2,Pain management,management,Painkillers save quality of life.,Using them correctly and regularly makes an enormous difference to daily wellbeing.,Never stop therapy without consulting the vet first.
de,6,2,Schmerzmanagement,Management,Schmerzmedikamente retten die Lebensqualität.,Sie korrekt und regelmäßig zu verwenden macht einen enormen Unterschied für das tägliche Wohlbefinden.,Unterbriche nie die Therapie ohne vorher den Tierarzt zu konsultieren.
fr,6,2,Gestion de la douleur,gestion,Les analgésiques sauvent la qualité de vie.,Les utiliser correctement et régulièrement fait une énorme différence sur le bien-être quotidien.,N'interrompez jamais la thérapie sans consulter le vétérinaire au préalable.
it,6,3,Gestione del dolore,gestione,La fisioterapia riduce il dolore in modo duraturo.,Professionisti qualificati sanno come ridurre rigidità e infiammazione con tecniche mirate.,Chiedi al vet se la fisioterapia veterinaria è indicata per il tuo cane.
en,6,3,Pain management,management,Physiotherapy reduces pain in a lasting way.,Qualified professionals know how to reduce stiffness and inflammation with targeted techniques.,Ask the vet if veterinary physiotherapy is indicated for your dog.
de,6,3,Schmerzmanagement,Management,Physiotherapie reduziert Schmerzen nachhaltig.,Qualifizierte Fachleute wissen wie sie Steifheit und Entzündungen mit gezielten Techniken reduzieren.,Frage den Tierarzt ob veterinärmedizinische Physiotherapie für deinen Hund angezeigt ist.
fr,6,3,Gestion de la douleur,gestion,La physiothérapie réduit la douleur de façon durable.,Des professionnels qualifiés savent comment réduire raideur et inflammation avec des techniques ciblées.,Demandez au vétérinaire si la physiothérapie vétérinaire est indiquée pour votre chien.
it,6,4,Gestione del dolore,gestione,Il calore locale dà sollievo immediato e concreto.,Il calore aumenta il flusso sanguigno nelle articolazioni riducendo rigidità e dolore.,Applica una borsa tiepida sulle zone dolenti per 10-15 minuti oggi.
en,6,4,Pain management,management,Local heat gives immediate and concrete relief.,Heat increases blood flow in the joints reducing stiffness and pain.,Apply a warm pack to sore areas for 10-15 minutes today.
de,6,4,Schmerzmanagement,Management,Lokale Wärme gibt sofortige und konkrete Linderung.,Wärme erhöht den Blutfluss in den Gelenken und reduziert Steifheit und Schmerzen.,Lege heute eine warme Kompresse für 10-15 Minuten auf schmerzende Stellen.
fr,6,4,Gestion de la douleur,gestion,La chaleur locale apporte un soulagement immédiat et concret.,La chaleur augmente le flux sanguin dans les articulations réduisant raideur et douleur.,Appliquez une compresse chaude sur les zones douloureuses pendant 10-15 minutes aujourd'hui.
it,6,5,Gestione del dolore,gestione,La scala del dolore aiuta a comunicare con il vet.,Quantificare il dolore rende la terapia più precisa ed efficace nel tempo.,Cerca online la pain scale canina e usala per descrivere il dolore del tuo cane.
en,6,5,Pain management,management,The pain scale helps communicate with the vet.,Quantifying pain makes therapy more precise and effective over time.,Search online for the canine pain scale and use it to describe your dog's pain.
de,6,5,Schmerzmanagement,Management,Die Schmerzskala hilft bei der Kommunikation mit dem Tierarzt.,Schmerz zu quantifizieren macht die Therapie präziser und im Laufe der Zeit wirksamer.,Suche online nach der Hundeschmerzskala und verwende sie um den Schmerz deines Hundes zu beschreiben.
fr,6,5,Gestion de la douleur,gestion,L'échelle de la douleur aide à communiquer avec le vétérinaire.,Quantifier la douleur rend la thérapie plus précise et efficace dans le temps.,Recherchez en ligne l'échelle de douleur canine et utilisez-la pour décrire la douleur de votre chien.
it,6,6,Gestione del dolore,gestione,L'agopuntura veterinaria funziona per molti cani.,Può integrare efficacemente la terapia farmacologica riducendo il dosaggio dei farmaci.,Informati sui veterinari acupuntori nella tua zona e chiedi al vet cosa ne pensa.
en,6,6,Pain management,management,Veterinary acupuncture works for many dogs.,It can effectively complement drug therapy reducing the dosage of medications.,Find out about acupuncturist vets in your area and ask your vet what they think.
de,6,6,Schmerzmanagement,Management,Veterinäre Akupunktur funktioniert bei vielen Hunden.,Sie kann die medikamentöse Therapie wirksam ergänzen und die Medikamentendosierung reduzieren.,Informiere dich über Akupunktur-Tierärzte in deiner Region und frage deinen Tierarzt was er davon hält.
fr,6,6,Gestion de la douleur,gestion,L'acupuncture vétérinaire fonctionne pour beaucoup de chiens.,Elle peut compléter efficacement la thérapie médicamenteuse en réduisant le dosage des médicaments.,Renseignez-vous sur les vétérinaires acupuncteurs dans votre région et demandez à votre vétérinaire son avis.
it,6,7,Gestione del dolore,gestione,Il freddo aiuta nell'infiammazione acuta.,In fase acuta il ghiaccio riduce il gonfiore e l'infiammazione articolare localizzata.,Applica freddo solo su indicazione veterinaria per non più di 10 minuti.
en,6,7,Pain management,management,Cold helps with acute inflammation.,In the acute phase ice reduces swelling and localised joint inflammation.,Apply cold only on veterinary advice for no more than 10 minutes.
de,6,7,Schmerzmanagement,Management,Kälte hilft bei akuter Entzündung.,In der akuten Phase reduziert Eis Schwellung und lokale Gelenkentzündung.,Kälte nur auf tierärztlichen Rat für nicht mehr als 10 Minuten anwenden.
fr,6,7,Gestion de la douleur,gestion,Le froid aide dans l'inflammation aiguë.,En phase aiguë la glace réduit le gonflement et l'inflammation articulaire localisée.,Appliquez le froid uniquement sur avis vétérinaire pendant pas plus de 10 minutes.
it,6,8,Gestione del dolore,gestione,Il massaggio terapeutico fa parte della cura.,Professionisti del massaggio pet conoscono le tecniche giuste per ridurre il dolore cronico.,Valuta di prenotare una sessione con un massaggiatore pet terapeutico.
en,6,8,Pain management,management,Therapeutic massage is part of care.,Pet massage professionals know the right techniques to reduce chronic pain.,Consider booking a session with a therapeutic pet masseur.
de,6,8,Schmerzmanagement,Management,Therapeutische Massage ist Teil der Pflege.,Pet-Massagefachleute kennen die richtigen Techniken um chronische Schmerzen zu reduzieren.,Erwäge eine Sitzung mit einem therapeutischen Pet-Masseur zu buchen.
fr,6,8,Gestion de la douleur,gestion,Le massage thérapeutique fait partie des soins.,Les professionnels du massage animalier connaissent les bonnes techniques pour réduire la douleur chronique.,Envisagez de réserver une séance avec un masseur thérapeutique animalier.
it,6,9,Gestione del dolore,gestione,Gli antidolorifici naturali possono affiancare la terapia.,Boswellia omega-3 e curcuma hanno effetti antinfiammatori documentati dalla ricerca scientifica.,Chiedi al vet quali integratori naturali sono sicuri per il tuo cane.
en,6,9,Pain management,management,Natural painkillers can support therapy.,Boswellia omega-3 and turmeric have anti-inflammatory effects documented by scientific research.,Ask the vet which natural supplements are safe for your dog.
de,6,9,Schmerzmanagement,Management,Natürliche Schmerzmittel können die Therapie unterstützen.,Boswellia Omega-3 und Kurkuma haben entzündungshemmende Wirkungen die durch wissenschaftliche Forschung belegt sind.,Frage den Tierarzt welche natürlichen Ergänzungsmittel für deinen Hund sicher sind.
fr,6,9,Gestion de la douleur,gestion,Les analgésiques naturels peuvent soutenir la thérapie.,La boswellia les oméga-3 et le curcuma ont des effets anti-inflammatoires documentés par la recherche scientifique.,Demandez au vétérinaire quels compléments naturels sont sûrs pour votre chien.
it,6,10,Gestione del dolore,gestione,Il riposo è parte attiva della terapia antidolore.,Il sovraccarico nei giorni di forte dolore aggrava l'infiammazione e allunga i tempi di recupero.,Nei giorni difficili riduci l'attività e lascia riposare il cane senza sensi di colpa.
en,6,10,Pain management,management,Rest is an active part of pain therapy.,Overloading on days of strong pain worsens inflammation and lengthens recovery times.,On difficult days reduce activity and let the dog rest without guilt.
de,6,10,Schmerzmanagement,Management,Ruhe ist ein aktiver Teil der Schmerztherapie.,Überlastung an Tagen starker Schmerzen verschlimmert Entzündungen und verlängert Erholungszeiten.,An schwierigen Tagen reduziere die Aktivität und lass den Hund ohne schlechtes Gewissen ruhen.
fr,6,10,Gestion de la douleur,gestion,Le repos est une partie active de la thérapie contre la douleur.,La surcharge les jours de forte douleur aggrave l'inflammation et allonge les temps de récupération.,Les jours difficiles réduisez l'activité et laissez le chien se reposer sans culpabilité.
it,6,11,Gestione del dolore,gestione,La laserterapia è uno strumento moderno ed efficace.,Il laser terapeutico riduce l'infiammazione e il dolore articolare senza effetti collaterali.,Chiedi al vet se la laserterapia è disponibile nella tua clinica veterinaria.
en,6,11,Pain management,management,Laser therapy is a modern and effective tool.,Therapeutic laser reduces joint inflammation and pain without side effects.,Ask the vet if laser therapy is available at your veterinary clinic.
de,6,11,Schmerzmanagement,Management,Lasertherapie ist ein modernes und wirksames Werkzeug.,Therapeutischer Laser reduziert Gelenkentzündung und Schmerzen ohne Nebenwirkungen.,Frage den Tierarzt ob Lasertherapie in deiner Tierklinik verfügbar ist.
fr,6,11,Gestion de la douleur,gestion,La laserthérapie est un outil moderne et efficace.,Le laser thérapeutique réduit l'inflammation articulaire et la douleur sans effets secondaires.,Demandez au vétérinaire si la laserthérapie est disponible dans votre clinique vétérinaire.
it,6,12,Gestione del dolore,gestione,La terapia con onde d'urto aiuta le forme croniche.,Può ridurre la rigidità e il dolore nelle articolazioni cronicamente infiammate.,Informa il vet del tuo interesse per questa terapia alla prossima visita.
en,6,12,Pain management,management,Shock wave therapy helps chronic forms.,It can reduce stiffness and pain in chronically inflamed joints.,Inform the vet of your interest in this therapy at the next visit.
de,6,12,Schmerzmanagement,Management,Stoßwellentherapie hilft bei chronischen Formen.,Sie kann Steifheit und Schmerzen in chronisch entzündeten Gelenken reduzieren.,Informiere den Tierarzt beim nächsten Besuch über dein Interesse an dieser Therapie.
fr,6,12,Gestion de la douleur,gestion,La thérapie par ondes de choc aide les formes chroniques.,Elle peut réduire raideur et douleur dans les articulations chroniquement enflammées.,Informez le vétérinaire de votre intérêt pour cette thérapie à la prochaine visite.
it,6,13,Gestione del dolore,gestione,Il comportamento cambia quando c'è dolore.,Aggressività ritiro o cambiamento di carattere possono essere segnali di dolore non riconosciuto.,Se il carattere cambia senza motivo apparente valuta subito una visita veterinaria.
en,6,13,Pain management,management,Behaviour changes when there is pain.,Aggression withdrawal or character change can be signs of unrecognised pain.,If the character changes without apparent reason consider a vet visit immediately.
de,6,13,Schmerzmanagement,Management,Das Verhalten verändert sich wenn Schmerzen vorhanden sind.,Aggression Rückzug oder Charakterveränderung können Zeichen von nicht erkanntem Schmerz sein.,Wenn sich der Charakter ohne ersichtlichen Grund ändert erwäge sofort einen Tierarztbesuch.
