language_code,month_num,day_num,theme_month,category,phrase,explanation,micro_action
it,12,1,Il percorso annuale e il futuro,gestione,Un anno di cura ha costruito qualcosa di solido.,Ogni giorno dedicato al cane si accumula in un percorso di cura che si vede e si sente.,Rifletti oggi sui progressi concreti di questo anno di cura.
en,12,1,The annual journey and the future,management,A year of care has built something solid.,Every day dedicated to the dog accumulates into a care journey that shows and is felt.,Reflect today on the concrete progress of this year of care.
de,12,1,Der Jahresweg und die Zukunft,Management,Ein Jahr Fürsorge hat etwas Solides aufgebaut.,Jeder dem Hund gewidmete Tag akkumuliert sich zu einem Pflegeweg der sich zeigt und fühlt.,Reflektiere heute über die konkreten Fortschritte dieses Pflegejahres.
fr,12,1,Le parcours annuel et l'avenir,gestion,Une année de soins a construit quelque chose de solide.,Chaque jour consacré au chien s'accumule en un parcours de soin qui se voit et se ressent.,Réfléchissez aujourd'hui aux progrès concrets de cette année de soins.
it,12,2,Il percorso annuale e il futuro,gestione,La pianificazione del nuovo anno inizia ora.,Anticipare le sfide del prossimo anno aiuta a gestirle meglio e con più serenità.,Scrivi gli obiettivi di cura e prevenzione per il prossimo anno.
en,12,2,The annual journey and the future,management,Planning the new year starts now.,Anticipating next year's challenges helps manage them better and with more serenity.,Write the care and prevention goals for the next year.
de,12,2,Der Jahresweg und die Zukunft,Management,Die Planung des neuen Jahres beginnt jetzt.,Die Herausforderungen des nächsten Jahres zu antizipieren hilft sie besser und mit mehr Gelassenheit zu bewältigen.,Schreibe die Pflege- und Präventionsziele für das nächste Jahr.
fr,12,2,Le parcours annuel et l'avenir,gestion,La planification de la nouvelle année commence maintenant.,Anticiper les défis de l'année prochaine aide à les gérer mieux et avec plus de sérénité.,Écrivez les objectifs de soins et de prévention pour l'année prochaine.
it,12,3,Il percorso annuale e il futuro,gestione,Il bilancio annuale è uno strumento prezioso di crescita.,Cosa ha funzionato? Cosa non ha funzionato? Cosa cambiare? Rispondere onestamente è potere.,Fai un bilancio onesto e scritto dell'anno appena trascorso.
en,12,3,The annual journey and the future,management,The annual balance is a precious growth tool.,What worked? What did not work? What to change? Answering honestly is power.,Make an honest and written balance of the year just passed.
de,12,3,Der Jahresweg und die Zukunft,Management,Die Jahresbilanz ist ein wertvolles Wachstumswerkzeug.,Was hat funktioniert? Was hat nicht funktioniert? Was ändern? Ehrlich zu antworten ist Macht.,Mache eine ehrliche und schriftliche Bilanz des gerade vergangenen Jahres.
fr,12,3,Le parcours annuel et l'avenir,gestion,Le bilan annuel est un précieux outil de croissance.,Qu'est-ce qui a fonctionné? Qu'est-ce qui n'a pas fonctionné? Que changer? Répondre honnêtement c'est du pouvoir.,Faites un bilan honnête et écrit de l'année qui vient de s'écouler.
it,12,4,Il percorso annuale e il futuro,gestione,Le abitudini costruite sono il fondamento del futuro.,Le routine sane create quest'anno continueranno a dare frutti per tutta la vita del cane.,Identifica le tre abitudini più importanti da rafforzare nel nuovo anno.
en,12,4,The annual journey and the future,management,The habits built are the foundation of the future.,The healthy routines created this year will continue to bear fruit throughout the dog's life.,Identify the three most important habits to strengthen in the new year.
de,12,4,Der Jahresweg und die Zukunft,Management,Die aufgebauten Gewohnheiten sind das Fundament der Zukunft.,Die in diesem Jahr geschaffenen gesunden Routinen werden das ganze Leben des Hundes weiter Früchte tragen.,Identifiziere die drei wichtigsten Gewohnheiten die im neuen Jahr gestärkt werden sollen.
fr,12,4,Le parcours annuel et l'avenir,gestion,Les habitudes construites sont le fondement de l'avenir.,Les routines saines créées cette année continueront à porter leurs fruits tout au long de la vie du chien.,Identifiez les trois habitudes les plus importantes à renforcer dans la nouvelle année.
it,12,5,Il percorso annuale e il futuro,gestione,Celebra ogni piccolo successo senza aspettare i grandi.,Ogni miglioramento anche minimo merita riconoscimento e celebrazione.,Pensa a un successo concreto di questo anno con il tuo cane e celebralo oggi.
en,12,5,The annual journey and the future,management,Celebrate every small success without waiting for big ones.,Every improvement even minimal deserves recognition and celebration.,Think of a concrete success of this year with your dog and celebrate it today.
de,12,5,Der Jahresweg und die Zukunft,Management,Feiere jeden kleinen Erfolg ohne auf die großen zu warten.,Jede Verbesserung auch eine minimale verdient Anerkennung und Feier.,Denke an einen konkreten Erfolg dieses Jahres mit deinem Hund und feiere ihn heute.
fr,12,5,Le parcours annuel et l'avenir,gestion,Célébrez chaque petit succès sans attendre les grands.,Chaque amélioration même minimale mérite reconnaissance et célébration.,Pensez à un succès concret de cette année avec votre chien et célébrez-le aujourd'hui.
it,12,6,Il percorso annuale e il futuro,gestione,La progressione dell'artrosi può essere rallentata con costanza.,Con cura quotidiana e attenzione si mantiene la qualità di vita a lungo nel tempo.,Rivedi con il vet il piano terapeutico e preventivo per il prossimo anno.
en,12,6,The annual journey and the future,management,The progression of arthritis can be slowed with consistency.,With daily care and attention quality of life is maintained for a long time.,Review with the vet the therapeutic and preventive plan for the next year.
de,12,6,Der Jahresweg und die Zukunft,Management,Der Fortschritt der Arthritis kann mit Konsequenz verlangsamt werden.,Mit täglicher Sorgfalt und Aufmerksamkeit wird die Lebensqualität lange aufrechterhalten.,Überprüfe mit dem Tierarzt den Therapie- und Präventionsplan für das nächste Jahr.
fr,12,6,Le parcours annuel et l'avenir,gestion,La progression de l'arthrose peut être ralentie avec constance.,Avec des soins quotidiens et de l'attention la qualité de vie est maintenue longtemps.,Révisez avec le vétérinaire le plan thérapeutique et préventif pour l'année prochaine.
it,12,7,Il percorso annuale e il futuro,gestione,Il futuro si costruisce con le scelte di oggi.,Ogni decisione quotidiana ha un impatto diretto sulla salute articolare futura del cane.,Scegli oggi una cosa concreta da fare diversamente per il bene futuro del cane.
en,12,7,The annual journey and the future,management,The future is built with today's choices.,Every daily decision has a direct impact on the dog's future joint health.,Choose one concrete thing today to do differently for the dog's future good.
de,12,7,Der Jahresweg und die Zukunft,Management,Die Zukunft wird mit den heutigen Entscheidungen aufgebaut.,Jede tägliche Entscheidung hat direkte Auswirkungen auf die zukünftige Gelenkgesundheit des Hundes.,Wähle heute eine konkrete Sache die du zum zukünftigen Wohl des Hundes anders machen möchtest.
fr,12,7,Le parcours annuel et l'avenir,gestion,L'avenir se construit avec les choix d'aujourd'hui.,Chaque décision quotidienne a un impact direct sur la future santé articulaire du chien.,Choisissez aujourd'hui une chose concrète à faire différemment pour le bien futur du chien.
it,12,8,Il percorso annuale e il futuro,gestione,La resilienza del cane è fonte di ispirazione quotidiana.,I cani si adattano alle sfide con una grazia straordinaria che ci insegna a non mollare mai.,Lasciati ispirare dalla forza del tuo cane nel fronteggiare le difficoltà ogni giorno.
en,12,8,The annual journey and the future,management,The dog's resilience is a daily source of inspiration.,Dogs adapt to challenges with extraordinary grace that teaches us never to give up.,Let yourself be inspired by your dog's strength in facing difficulties every day.
de,12,8,Der Jahresweg und die Zukunft,Management,Die Resilienz des Hundes ist eine tägliche Inspirationsquelle.,Hunde passen sich mit außerordentlicher Anmut an Herausforderungen an die uns lehrt niemals aufzugeben.,Lass dich von der Stärke deines Hundes beim täglichen Bewältigen von Schwierigkeiten inspirieren.
fr,12,8,Le parcours annuel et l'avenir,gestion,La résilience du chien est une source d'inspiration quotidienne.,Les chiens s'adaptent aux défis avec une grâce extraordinaire qui nous enseigne à ne jamais abandonner.,Laissez-vous inspirer par la force de votre chien pour faire face aux difficultés chaque jour.
it,12,9,Il percorso annuale e il futuro,gestione,Il percorso cambia evolve ma non finisce mai.,L'artrosi è una condizione da gestire con intelligenza non da sconfiggere con la forza.,Accetta il percorso con serenità e continua con determinazione e amore.
en,12,9,The annual journey and the future,management,The journey changes evolves but never ends.,Arthritis is a condition to manage with intelligence not to defeat with force.,Accept the journey with serenity and continue with determination and love.
de,12,9,Der Jahresweg und die Zukunft,Management,Der Weg verändert sich entwickelt sich aber endet nie.,Arthritis ist eine mit Intelligenz zu bewältigende Erkrankung nicht mit Kraft zu besiegende.,Akzeptiere den Weg mit Gelassenheit und mache mit Entschlossenheit und Liebe weiter.
fr,12,9,Le parcours annuel et l'avenir,gestion,Le parcours change évolue mais ne finit jamais.,L'arthrose est une condition à gérer avec intelligence pas à vaincre avec la force.,Acceptez le parcours avec sérénité et continuez avec détermination et amour.
it,12,10,Il percorso annuale e il futuro,prevenzione,La prevenzione non ha mai fine: vale per tutta la vita.,Anche i cani sani devono essere protetti ogni giorno: la guardia non si abbassa mai.,Rinnova oggi il tuo impegno alla prevenzione articolare per il cane sano.
en,12,10,The annual journey and the future,prevention,Prevention never ends: it is valid throughout life.,Even healthy dogs must be protected every day: the guard never drops.,Renew your commitment to joint prevention for the healthy dog today.
