language_code,month_num,day_num,theme_month,category,phrase,explanation,micro_action
it,10,1,Stagioni e articolazioni,stagioni,L'inverno è la stagione più difficile per le articolazioni.,Freddo e umidità aumentano la rigidità articolare e peggiorano i sintomi dell'artrosi.,Prepara già ora la casa e la routine del cane per affrontare al meglio l'inverno.
en,10,1,Seasons and joints,seasons,Winter is the hardest season for the joints.,Cold and humidity increase joint stiffness and worsen arthritis symptoms.,Prepare the house and the dog's routine now to best face winter.
de,10,1,Jahreszeiten und Gelenke,Jahreszeiten,Winter ist die schwierigste Jahreszeit für die Gelenke.,Kälte und Feuchtigkeit erhöhen die Gelenksteifheit und verschlimmern Arthritissymptome.,Bereite schon jetzt das Haus und die Routine des Hundes vor um den Winter bestmöglich zu bewältigen.
fr,10,1,Saisons et articulations,saisons,L'hiver est la saison la plus difficile pour les articulations.,Froid et humidité augmentent la raideur articulaire et aggravent les symptômes de l'arthrose.,Préparez dès maintenant la maison et la routine du chien pour affronter au mieux l'hiver.
it,10,2,Stagioni e articolazioni,stagioni,L'estate richiede attenzione al caldo eccessivo.,Il calore affatica le articolazioni e riduce la voglia di muoversi nel cane artrosico.,Evita le uscite nelle ore più calde e porta sempre acqua fresca in estate.
en,10,2,Seasons and joints,seasons,Summer requires attention to excessive heat.,Heat tires the joints and reduces the desire to move in the arthritic dog.,Avoid outings during the hottest hours and always bring fresh water in summer.
de,10,2,Jahreszeiten und Gelenke,Jahreszeiten,Sommer erfordert Aufmerksamkeit auf übermäßige Hitze.,Hitze ermüdet die Gelenke und reduziert die Bewegungslust beim arthritischen Hund.,Vermeide Ausgänge in den heißesten Stunden und bringe im Sommer immer frisches Wasser mit.
fr,10,2,Saisons et articulations,saisons,L'été demande attention à la chaleur excessive.,La chaleur fatigue les articulations et réduit l'envie de bouger chez le chien arthritique.,Évitez les sorties aux heures les plus chaudes et apportez toujours de l'eau fraîche en été.
it,10,3,Stagioni e articolazioni,stagioni,La primavera risveglia il corpo e invita al movimento.,Le giornate più lunghe sono un'opportunità per aumentare gradualmente l'attività fisica.,Aumenta gradualmente la durata delle passeggiate con l'arrivo della primavera.
en,10,3,Seasons and joints,seasons,Spring awakens the body and invites movement.,Longer days are an opportunity to gradually increase physical activity.,Gradually increase the duration of walks with the arrival of spring.
de,10,3,Jahreszeiten und Gelenke,Jahreszeiten,Frühling weckt den Körper und lädt zur Bewegung ein.,Längere Tage sind eine Gelegenheit die körperliche Aktivität schrittweise zu steigern.,Erhöhe mit dem Einzug des Frühlings schrittweise die Dauer der Spaziergänge.
fr,10,3,Saisons et articulations,saisons,Le printemps réveille le corps et invite au mouvement.,Les jours plus longs sont une opportunité d'augmenter graduellement l'activité physique.,Augmentez graduellement la durée des promenades avec l'arrivée du printemps.
it,10,4,Stagioni e articolazioni,prevenzione,L'autunno è il momento ideale per la prevenzione invernale.,Prima del freddo è il momento di rinforzare le difese articolari e aggiustare la terapia.,Pianifica gli integratori invernali e il controllo veterinario in autunno.
en,10,4,Seasons and joints,prevention,Autumn is the ideal time for winter prevention.,Before the cold it is the time to strengthen joint defences and adjust therapy.,Plan winter supplements and the veterinary check-up in autumn.
de,10,4,Jahreszeiten und Gelenke,Prävention,Herbst ist die ideale Zeit für Winterprävention.,Vor der Kälte ist es Zeit die Gelenkabwehr zu stärken und die Therapie anzupassen.,Plane Winter-Ergänzungsmittel und die tierärztliche Kontrolle im Herbst.
fr,10,4,Saisons et articulations,prévention,L'automne est le moment idéal pour la prévention hivernale.,Avant le froid c'est le moment de renforcer les défenses articulaires et d'ajuster la thérapie.,Planifiez les compléments d'hiver et le contrôle vétérinaire en automne.
it,10,5,Stagioni e articolazioni,stagioni,Il cambio di stagione può scatenare peggioramenti.,Le variazioni di pressione barometrica influenzano le articolazioni artrosiche in modo diretto.,Tieni un diario stagionale dei sintomi per identificare i periodi critici.
en,10,5,Seasons and joints,seasons,The change of season can trigger worsening.,Changes in barometric pressure directly influence arthritic joints.,Keep a seasonal symptom diary to identify critical periods.
de,10,5,Jahreszeiten und Gelenke,Jahreszeiten,Der Jahreswechsel kann Verschlechterungen auslösen.,Veränderungen des Luftdrucks beeinflussen arthritische Gelenke direkt.,Führe ein saisonales Symptomtagebuch um kritische Perioden zu identifizieren.
fr,10,5,Saisons et articulations,saisons,Le changement de saison peut déclencher des aggravations.,Les variations de pression barométrique influencent directement les articulations arthritiques.,Tenez un journal saisonnier des symptômes pour identifier les périodes critiques.
it,10,6,Stagioni e articolazioni,stagioni,La neve è un rischio articolare da non sottovalutare.,Camminare sulla neve richiede uno sforzo muscolare maggiore che stanca le articolazioni.,Usa stivali protettivi per le zampe e riduci le distanze nella neve.
en,10,6,Seasons and joints,seasons,Snow is a joint risk not to be underestimated.,Walking on snow requires greater muscular effort that tires the joints.,Use protective boots for the paws and reduce distances in snow.
de,10,6,Jahreszeiten und Gelenke,Jahreszeiten,Schnee ist ein Gelenkrisiko das man nicht unterschätzen sollte.,Im Schnee zu gehen erfordert größere Muskelanstrengung die die Gelenke ermüdet.,Benutze Schutzstiefel für die Pfoten und reduziere Distanzen im Schnee.
fr,10,6,Saisons et articulations,saisons,La neige est un risque articulaire à ne pas sous-estimer.,Marcher sur la neige nécessite un effort musculaire plus grand qui fatigue les articulations.,Utilisez des bottines protectrices pour les pattes et réduisez les distances dans la neige.
it,10,7,Stagioni e articolazioni,stagioni,Il sale antighiaccio danneggia le zampe e irrita le articolazioni.,I sali chimici sulle strade invernali irritano i cuscinetti e causano infiammazione.,Lava sempre le zampe con acqua tiepida dopo ogni uscita invernale su strade salate.
en,10,7,Seasons and joints,seasons,De-icing salt damages the paws and irritates the joints.,Chemical salts on winter roads irritate the paw pads and cause inflammation.,Always wash paws with warm water after every winter outing on salted roads.
de,10,7,Jahreszeiten und Gelenke,Jahreszeiten,Streusalz schädigt die Pfoten und reizt die Gelenke.,Chemische Salze auf Winterstraßen reizen die Pfotenballen und verursachen Entzündungen.,Wasche die Pfoten nach jedem Winterausgang auf gesalzenen Straßen immer mit warmem Wasser.
fr,10,7,Saisons et articulations,saisons,Le sel de déglaçage endommage les pattes et irrite les articulations.,Les sels chimiques sur les routes hivernales irritent les coussinets et causent de l'inflammation.,Lavez toujours les pattes avec de l'eau tiède après chaque sortie hivernale sur routes salées.
it,10,8,Stagioni e articolazioni,stagioni,Il giubbotto invernale riduce la rigidità nelle razze a pelo corto.,Mantenere caldo il corpo riduce la rigidità mattutina nelle razze predisposte.,Valuta un giubbotto termico per il cane nelle giornate particolarmente fredde.
en,10,8,Seasons and joints,seasons,The winter jacket reduces stiffness in short-haired breeds.,Keeping the body warm reduces morning stiffness in predisposed breeds.,Consider a thermal jacket for the dog on particularly cold days.
de,10,8,Jahreszeiten und Gelenke,Jahreszeiten,Die Winterjacke reduziert Steifheit bei kurzhaarigen Rassen.,Den Körper warm zu halten reduziert morgendliche Steifheit bei prädisponierten Rassen.,Erwäge an besonders kalten Tagen eine Thermojacke für den Hund.
fr,10,8,Saisons et articulations,saisons,La veste d'hiver réduit la raideur chez les races à poil court.,Garder le corps au chaud réduit la raideur matinale chez les races prédisposées.,Envisagez une veste thermique pour le chien les journées particulièrement froides.
it,10,9,Stagioni e articolazioni,stagioni,L'estate porta il rischio di zampe bruciate sull'asfalto.,L'asfalto caldo brucia i cuscinetti e crea stress articolare nel cane.,Cammina su erba o in ore fresche in estate e testa sempre l'asfalto con il palmo della mano.
en,10,9,Seasons and joints,seasons,Summer brings the risk of burnt paws on asphalt.,Hot asphalt burns the paw pads and creates joint stress in the dog.,Walk on grass or in cool hours in summer and always test the asphalt with the palm of your hand.
