language_code,month_num,day_num,theme_month,category,phrase,explanation,micro_action
it,1,1,Consapevolezza e osservazione,osservazione,Le articolazioni parlano piano.,I segnali iniziali sono piccoli ma importanti.,Osserva come si alza dopo il riposo.
en,1,1,Awareness and observation,observation,Joints speak softly.,Early signals are small but important.,Watch how they rise after rest.
de,1,1,Bewusstsein und Beobachtung,Beobachtung,Die Gelenke sprechen leise.,Erste Signale sind klein aber wichtig.,Beobachte wie er nach der Ruhe aufsteht.
fr,1,1,Conscience et observation,observation,Les articulations parlent doucement.,Les premiers signaux sont petits mais importants.,Observe comment il se lève après le repos.
it,1,2,Consapevolezza e osservazione,osservazione,Il primo passo dice molto.,I primi movimenti mostrano eventuale rigidità.,Guarda i primi 10 secondi dopo che si alza.
en,1,2,Awareness and observation,observation,The first step says a lot.,First movements show possible stiffness.,Watch the first 10 seconds after they rise.
de,1,2,Bewusstsein und Beobachtung,Beobachtung,Der erste Schritt sagt viel.,Erste Bewegungen zeigen mögliche Steifheit.,Beobachte die ersten 10 Sekunden nachdem er aufsteht.
fr,1,2,Conscience et observation,observation,Le premier pas en dit long.,Les premiers mouvements révèlent une éventuelle raideur.,Observez les 10 premières secondes après qu'il se lève.
it,1,3,Consapevolezza e osservazione,osservazione,Ogni cambiamento conta.,Anche piccole differenze sono utili.,Confronta oggi con ieri.
en,1,3,Awareness and observation,observation,Every change matters.,Even small differences are useful.,Compare today with yesterday.
de,1,3,Bewusstsein und Beobachtung,Beobachtung,Jede Veränderung zählt.,Auch kleine Unterschiede sind nützlich.,Vergleiche heute mit gestern.
fr,1,3,Conscience et observation,observation,Chaque changement compte.,Même les petites différences sont utiles.,Comparez aujourd'hui avec hier.
it,1,4,Consapevolezza e osservazione,osservazione,La lentezza è un segnale.,Un movimento lento può indicare disagio.,Nota se impiega più tempo ad alzarsi.
en,1,4,Awareness and observation,observation,Slowness is a signal.,Slow movement can indicate discomfort.,Notice if they take longer to get up.
de,1,4,Bewusstsein und Beobachtung,Beobachtung,Langsamkeit ist ein Signal.,Eine langsame Bewegung kann Unbehagen anzeigen.,Achte darauf ob er länger braucht um aufzustehen.
fr,1,4,Conscience et observation,observation,La lenteur est un signal.,Un mouvement lent peut indiquer une gêne.,Notez s'il met plus de temps à se lever.
it,1,5,Consapevolezza e osservazione,osservazione,Il corpo manda segnali continui.,Sta a te imparare a leggerli.,Osserva durante la giornata.
en,1,5,Awareness and observation,observation,The body sends continuous signals.,It is up to you to learn to read them.,Observe throughout the day.
de,1,5,Bewusstsein und Beobachtung,Beobachtung,Der Körper sendet kontinuierliche Signale.,Es liegt an dir sie lesen zu lernen.,Beobachte den ganzen Tag.
fr,1,5,Conscience et observation,observation,Le corps envoie des signaux continus.,C'est à vous d'apprendre à les lire.,Observez tout au long de la journée.
it,1,6,Consapevolezza e osservazione,osservazione,Non serve che zoppichi.,I segnali arrivano prima della zoppia.,Cerca rigidità o esitazione.
en,1,6,Awareness and observation,observation,They don't need to limp yet.,Signals come before limping does.,Look for stiffness or hesitation.
de,1,6,Bewusstsein und Beobachtung,Beobachtung,Er muss noch nicht hinken.,Signale kommen bevor das Hinken beginnt.,Suche nach Steifheit oder Zögern.
fr,1,6,Conscience et observation,observation,Il n'a pas besoin de boiter encore.,Les signaux arrivent avant la boiterie.,Cherchez raideur ou hésitation.
it,1,7,Consapevolezza e osservazione,osservazione,Il movimento cambia durante il giorno.,Mattina e sera possono essere diversi.,Confronta due momenti della giornata.
en,1,7,Awareness and observation,observation,Movement changes during the day.,Morning and evening can differ.,Compare two moments of the day.
de,1,7,Bewusstsein und Beobachtung,Beobachtung,Die Bewegung ändert sich im Laufe des Tages.,Morgen und Abend können unterschiedlich sein.,Vergleiche zwei Tagesmomente.
fr,1,7,Conscience et observation,observation,Le mouvement change au cours de la journée.,Matin et soir peuvent être différents.,Comparez deux moments de la journée.
it,1,8,Consapevolezza e osservazione,osservazione,Le pause raccontano molto.,Fermarsi spesso può indicare fatica.,Conta le pause durante la passeggiata.
en,1,8,Awareness and observation,observation,Pauses tell a lot.,Stopping often can indicate fatigue.,Count the pauses during the walk.
de,1,8,Bewusstsein und Beobachtung,Beobachtung,Pausen erzählen viel.,Häufiges Anhalten kann Müdigkeit anzeigen.,Zähle die Pausen während des Spaziergangs.
fr,1,8,Conscience et observation,observation,Les pauses en disent long.,S'arrêter souvent peut indiquer de la fatigue.,Comptez les pauses pendant la promenade.
it,1,9,Consapevolezza e osservazione,osservazione,Il ritmo non è sempre uguale.,Variazioni improvvise sono importanti.,Nota se accelera o rallenta.
en,1,9,Awareness and observation,observation,The pace is not always the same.,Sudden variations matter.,Notice if they speed up or slow down.
de,1,9,Bewusstsein und Beobachtung,Beobachtung,Das Tempo ist nicht immer gleich.,Plötzliche Schwankungen sind wichtig.,Achte darauf ob er schneller oder langsamer wird.
fr,1,9,Conscience et observation,observation,Le rythme n'est pas toujours le même.,Les variations soudaines sont importantes.,Notez s'il accélère ou ralentit.
it,1,10,Consapevolezza e osservazione,osservazione,Osservare è già prendersi cura.,Capire i segnali è il primo passo.,Dedica 1 minuto solo ad osservare.
en,1,10,Awareness and observation,observation,Observing is already caring.,Understanding signals is the first step.,Spend 1 minute just observing.
de,1,10,Bewusstsein und Beobachtung,Beobachtung,Beobachten ist bereits Fürsorge.,Signale zu verstehen ist der erste Schritt.,Widme 1 Minute nur der Beobachtung.
fr,1,10,Conscience et observation,observation,Observer c'est déjà prendre soin.,Comprendre les signaux est la première étape.,Consacrez 1 minute à observer.
it,1,11,Consapevolezza e osservazione,osservazione,Il riposo cambia il movimento.,Dopo il riposo emergono rigidità.,Osserva come si muove appena si alza.
