language_code,month_num,day_num,theme_month,category,phrase,explanation,micro_action
it,11,1,Benessere emotivo e qualità della vita,benessere,Il dolore cronico cambia l'umore del cane.,Un cane che soffre può diventare ansioso ritirato o irritabile: riconoscerlo è fondamentale.,Osserva oggi i cambiamenti comportamentali che potrebbero essere legati al dolore.
en,11,1,Emotional wellbeing and quality of life,wellbeing,Chronic pain changes the dog's mood.,A dog that suffers can become anxious withdrawn or irritable: recognising this is fundamental.,Observe today the behavioural changes that might be linked to pain.
de,11,1,Emotionales Wohlbefinden und Lebensqualität,Wohlbefinden,Chronischer Schmerz verändert die Stimmung des Hundes.,Ein leidender Hund kann ängstlich zurückgezogen oder reizbar werden: dies zu erkennen ist grundlegend.,Beobachte heute die Verhaltensänderungen die mit Schmerzen zusammenhängen könnten.
fr,11,1,Bien-être émotionnel et qualité de vie,bien-être,La douleur chronique change l'humeur du chien.,Un chien qui souffre peut devenir anxieux retiré ou irritable: le reconnaître est fondamental.,Observez aujourd'hui les changements comportementaux qui pourraient être liés à la douleur.
it,11,2,Benessere emotivo e qualità della vita,benessere,Il gioco è terapia emotiva potente e gratuita.,Anche brevi momenti di gioco leggero migliorano il benessere emotivo del cane artrosico.,Proponi oggi un gioco breve e adatto alle sue capacità fisiche attuali.
en,11,2,Emotional wellbeing and quality of life,wellbeing,Play is powerful and free emotional therapy.,Even brief moments of light play improve the emotional wellbeing of the arthritic dog.,Offer a short game today suited to their current physical abilities.
de,11,2,Emotionales Wohlbefinden und Lebensqualität,Wohlbefinden,Spielen ist mächtige und kostenlose emotionale Therapie.,Auch kurze Momente leichten Spielens verbessern das emotionale Wohlbefinden des arthritischen Hundes.,Biete heute ein kurzes für seine aktuellen körperlichen Fähigkeiten geeignetes Spiel an.
fr,11,2,Bien-être émotionnel et qualité de vie,bien-être,Le jeu est une thérapie émotionnelle puissante et gratuite.,Même de brefs moments de jeu léger améliorent le bien-être émotionnel du chien arthritique.,Proposez aujourd'hui un jeu court adapté à ses capacités physiques actuelles.
it,11,3,Benessere emotivo e qualità della vita,benessere,Il contatto fisico riduce il cortisolo in entrambi.,Le coccole quotidiane abbassano lo stress nel cane e nel tutor creando un circolo virtuoso.,Dedica ogni giorno almeno 10 minuti di contatto fisico dolce e consapevole.
en,11,3,Emotional wellbeing and quality of life,wellbeing,Physical contact reduces cortisol in both.,Daily cuddles lower stress in both the dog and the owner creating a virtuous circle.,Dedicate at least 10 minutes of gentle conscious physical contact every day.
de,11,3,Emotionales Wohlbefinden und Lebensqualität,Wohlbefinden,Körperkontakt reduziert Cortisol bei beiden.,Tägliches Kuscheln senkt Stress beim Hund und beim Besitzer und schafft einen Tugendkreis.,Widme jeden Tag mindestens 10 Minuten sanftem bewusstem Körperkontakt.
fr,11,3,Bien-être émotionnel et qualité de vie,bien-être,Le contact physique réduit le cortisol chez les deux.,Les câlins quotidiens abaissent le stress chez le chien et le propriétaire créant un cercle vertueux.,Consacrez chaque jour au moins 10 minutes de contact physique doux et conscient.
it,11,4,Benessere emotivo e qualità della vita,benessere,La socializzazione mantiene la mente attiva e vitale.,Incontrare altri cani e persone stimola il benessere emotivo anche nel cane artrosico.,Organizza un incontro con un cane amico compatibile con le sue capacità attuali.
en,11,4,Emotional wellbeing and quality of life,wellbeing,Socialisation keeps the mind active and vital.,Meeting other dogs and people stimulates emotional wellbeing even in the arthritic dog.,Organise a meeting with a friendly dog compatible with their current abilities.
de,11,4,Emotionales Wohlbefinden und Lebensqualität,Wohlbefinden,Sozialisation hält den Geist aktiv und vital.,Andere Hunde und Menschen zu treffen stimuliert das emotionale Wohlbefinden auch beim arthritischen Hund.,Organisiere ein Treffen mit einem befreundeten Hund das mit seinen aktuellen Fähigkeiten kompatibel ist.
