language_code,month_num,day_num,theme_month,category,phrase,explanation,micro_action
it,7,1,Razze e prevenzione mirata,prevenzione,Non tutte le razze hanno lo stesso rischio articolare.,Conoscere la predisposizione della propria razza permette di agire in modo mirato e tempestivo.,Scopri oggi il profilo di rischio articolare specifico della tua razza.
en,7,1,Breeds and targeted prevention,prevention,Not all breeds have the same joint risk.,Knowing your breed's predisposition allows targeted and timely action.,Find out the specific joint risk profile of your breed today.
de,7,1,Rassen und gezielte Prävention,Prävention,Nicht alle Rassen haben das gleiche Gelenkrisiko.,Die Prädisposition der eigenen Rasse zu kennen ermöglicht gezieltes und rechtzeitiges Handeln.,Finde heute das spezifische Gelenkrisikoprofil deiner Rasse heraus.
fr,7,1,Races et prévention ciblée,prévention,Toutes les races n'ont pas le même risque articulaire.,Connaître la prédisposition de sa race permet d'agir de façon ciblée et opportune.,Découvrez aujourd'hui le profil de risque articulaire spécifique de votre race.
it,7,2,Razze e prevenzione mirata,prevenzione,I labrador sono tra le razze più a rischio.,La displasia dell'anca è molto comune: prevenire precocemente cambia il futuro articolare.,Se hai un labrador inizia subito un programma preventivo con il vet.
en,7,2,Breeds and targeted prevention,prevention,Labradors are among the highest risk breeds.,Hip dysplasia is very common: early prevention changes the joint future.,If you have a labrador start a preventive programme with the vet right away.
de,7,2,Rassen und gezielte Prävention,Prävention,Labradore gehören zu den Rassen mit dem höchsten Risiko.,Hüftdysplasie ist sehr häufig: frühzeitige Prävention verändert die Gelenkzukunft.,Wenn du einen Labrador hast beginne sofort ein Präventionsprogramm mit dem Tierarzt.
fr,7,2,Races et prévention ciblée,prévention,Les labradors sont parmi les races les plus à risque.,La dysplasie de la hanche est très courante: prévenir tôt change l'avenir articulaire.,Si vous avez un labrador commencez immédiatement un programme préventif avec le vétérinaire.
it,7,3,Razze e prevenzione mirata,prevenzione,Il pastore tedesco ha predisposizione alla displasia.,Controllare le anche nei cuccioli di questa razza è un atto preventivo fondamentale.,Chiedi al vet una valutazione ortopedica delle anche già a 12 mesi.
en,7,3,Breeds and targeted prevention,prevention,The German shepherd is predisposed to dysplasia.,Checking hips in puppies of this breed is a fundamental preventive act.,Ask the vet for an orthopaedic assessment of the hips already at 12 months.
de,7,3,Rassen und gezielte Prävention,Prävention,Der Deutsche Schäferhund ist zu Dysplasie prädisponiert.,Hüften bei Welpen dieser Rasse zu kontrollieren ist ein grundlegender präventiver Akt.,Bitte den Tierarzt bereits mit 12 Monaten um eine orthopädische Beurteilung der Hüften.
fr,7,3,Races et prévention ciblée,prévention,Le berger allemand est prédisposé à la dysplasie.,Contrôler les hanches des chiots de cette race est un acte préventif fondamental.,Demandez au vétérinaire une évaluation orthopédique des hanches dès 12 mois.
it,7,4,Razze e prevenzione mirata,prevenzione,Il rottweiler ha rischio elevato al gomito.,La displasia del gomito è comune in questa razza grande e robusta.,Monitora il gomito nei rottweiler dal primo anno di vita con controlli regolari.
en,7,4,Breeds and targeted prevention,prevention,The rottweiler has high elbow risk.,Elbow dysplasia is common in this large and robust breed.,Monitor the elbow in rottweilers from the first year of life with regular checks.
de,7,4,Rassen und gezielte Prävention,Prävention,Der Rottweiler hat ein hohes Ellbogenrisiko.,Ellbogendysplasie ist bei dieser großen und robusten Rasse häufig.,Überwache den Ellbogen bei Rottweiler ab dem ersten Lebensjahr mit regelmäßigen Kontrollen.
fr,7,4,Races et prévention ciblée,prévention,Le rottweiler a un risque élevé du coude.,La dysplasie du coude est courante dans cette grande et robuste race.,Surveillez le coude chez les rottweilers dès la première année de vie avec des contrôles réguliers.
it,7,5,Razze e prevenzione mirata,prevenzione,Il golden retriever soffre spesso di artrosi precoce.,Displasia e artrosi sono molto frequenti: i controlli annuali articolari sono essenziali.,Pianifica controlli ortopedici annuali se hai un golden retriever.
en,7,5,Breeds and targeted prevention,prevention,The golden retriever often suffers from early arthritis.,Dysplasia and arthritis are very frequent: annual joint checks are essential.,Plan annual orthopaedic checks if you have a golden retriever.
de,7,5,Rassen und gezielte Prävention,Prävention,Der Golden Retriever leidet oft an früher Arthritis.,Dysplasie und Arthritis sind sehr häufig: jährliche Gelenkkontrollen sind unerlässlich.,Plane jährliche orthopädische Kontrollen wenn du einen Golden Retriever hast.
fr,7,5,Races et prévention ciblée,prévention,Le golden retriever souffre souvent d'arthrose précoce.,Dysplasie et arthrose sont très fréquentes: les contrôles articulaires annuels sont essentiels.,Planifiez des contrôles orthopédiques annuels si vous avez un golden retriever.
it,7,6,Razze e prevenzione mirata,prevenzione,Le razze condrodistrofiche hanno rischio alla schiena.,Bassotti bulldog e corgi sono predisposti a problemi del disco intervertebrale.,Evita i salti e usa rampe per queste razze fin da cucciolo.
en,7,6,Breeds and targeted prevention,prevention,Chondrodystrophic breeds have back risk.,Dachshunds bulldogs and corgis are predisposed to intervertebral disc problems.,Avoid jumps and use ramps for these breeds from puppyhood.
de,7,6,Rassen und gezielte Prävention,Prävention,Chondrodystrophische Rassen haben Rückenrisiko.,Dackel Bulldoggen und Corgis sind zu Bandscheibenproblemen prädisponiert.,Vermeide Sprünge und benutze Rampen für diese Rassen ab dem Welpenalter.
fr,7,6,Races et prévention ciblée,prévention,Les races chondrodystrophiques ont un risque dorsal.,Les teckels bouledogues et corgis sont prédisposés aux problèmes de disque intervertébral.,Évitez les sauts et utilisez des rampes pour ces races dès le stade chiot.
it,7,7,Razze e prevenzione mirata,prevenzione,I cani di taglia gigante invecchiano prima articolarmente.,Mastiff e doghe hanno aspettativa di vita articolare ridotta: la prevenzione inizia a 6 mesi.,Avvia la prevenzione articolare nelle razze giganti entro il primo anno di vita.
en,7,7,Breeds and targeted prevention,prevention,Giant breed dogs age faster in their joints.,Mastiffs and great danes have reduced joint life expectancy: prevention starts at 6 months.,Start joint prevention in giant breeds within the first year of life.
de,7,7,Rassen und gezielte Prävention,Prävention,Hunde der Riesengröße altern gelenklich früher.,Mastiffs und Deutsche Doggen haben eine reduzierte Gelenklebenserwartung: Prävention beginnt mit 6 Monaten.,Starte die Gelenkprävention bei Riesenrassen innerhalb des ersten Lebensjahres.
fr,7,7,Races et prévention ciblée,prévention,Les chiens de race géante vieillissent plus vite au niveau articulaire.,Les mastiffs et les dogues ont une espérance de vie articulaire réduite: la prévention commence à 6 mois.,Démarrez la prévention articulaire chez les races géantes dans la première année de vie.
it,7,8,Razze e prevenzione mirata,prevenzione,Il border collie è a rischio da eccessivo utilizzo.,Un cane da lavoro o da sport sovrautilizzato sviluppa artrosi precocemente.,Bilancia l'attività del border collie con periodi adeguati di riposo e recupero.
en,7,8,Breeds and targeted prevention,prevention,The border collie is at risk from overuse.,A working or sport dog that is overused develops arthritis early.,Balance the border collie's activity with adequate rest and recovery periods.
de,7,8,Rassen und gezielte Prävention,Prävention,Der Border Collie ist durch Übernutzung gefährdet.,Ein übernutzter Arbeits- oder Sporthund entwickelt früh Arthritis.,Balanciere die Aktivität des Border Collies mit ausreichenden Ruhe- und Erholungszeiten.
fr,7,8,Races et prévention ciblée,prévention,Le border collie est à risque par surmenage.,Un chien de travail ou de sport surexploité développe l'arthrose précocement.,Équilibrez l'activité du border collie avec des périodes adéquates de repos et de récupération.
it,7,9,Razze e prevenzione mirata,prevenzione,Il bulldog inglese ha conformazione fisica critica.,La loro struttura corporea crea stress articolare cronico fin dalla nascita.,Nei bulldog la prevenzione è ancora più urgente e va iniziata presto.
en,7,9,Breeds and targeted prevention,prevention,The English bulldog has critical physical conformation.,Their body structure creates chronic joint stress from birth.,In bulldogs prevention is even more urgent and must be started early.
de,7,9,Rassen und gezielte Prävention,Prävention,Die englische Bulldogge hat eine kritische körperliche Konformation.,Ihre Körperstruktur schafft von Geburt an chronischen Gelenkstress.,Bei Bulldoggen ist Prävention noch dringlicher und muss früh begonnen werden.
fr,7,9,Races et prévention ciblée,prévention,Le bouledogue anglais a une conformation physique critique.,Leur structure corporelle crée un stress articulaire chronique dès la naissance.,Chez les bouledogues la prévention est encore plus urgente et doit commencer tôt.
it,7,10,Razze e prevenzione mirata,prevenzione,I meticci hanno spesso vantaggi genetici concreti.,La variabilità genetica riduce il rischio di displasia rispetto alle razze pure.,Non sottovalutare i controlli articolari anche nei meticci: non sono immuni.
en,7,10,Breeds and targeted prevention,prevention,Mongrels often have concrete genetic advantages.,Genetic variability reduces the risk of dysplasia compared to purebreds.,Do not underestimate joint checks even in mongrels: they are not immune.
de,7,10,Rassen und gezielte Prävention,Prävention,Mischlinge haben oft konkrete genetische Vorteile.,Genetische Variabilität reduziert das Dysplasierisiko im Vergleich zu Reinrassigen.,Unterschätze Gelenkkontrollen auch bei Mischlingen nicht: sie sind nicht immun.
fr,7,10,Races et prévention ciblée,prévention,Les bâtards ont souvent des avantages génétiques concrets.,La variabilité génétique réduit le risque de dysplasie par rapport aux races pures.,Ne sous-estimez pas les contrôles articulaires même chez les bâtards: ils ne sont pas immunisés.
it,7,11,Razze e prevenzione mirata,prevenzione,La selezione del cucciolo è già prevenzione.,Scegliere allevatori che testano i riproduttori per displasia riduce significativamente il rischio.,Chiedi all'allevatore i certificati OFA o PennHIP dei genitori prima di scegliere.
en,7,11,Breeds and targeted prevention,prevention,Puppy selection is already prevention.,Choosing breeders who test breeding animals for dysplasia significantly reduces risk.,Ask the breeder for OFA or PennHIP certificates of the parents before choosing.
de,7,11,Rassen und gezielte Prävention,Prävention,Die Welpenauswahl ist bereits Prävention.,Züchter zu wählen die Zuchttiere auf Dysplasie testen reduziert das Risiko signifikant.,Bitte den Züchter vor der Auswahl um OFA- oder PennHIP-Zertifikate der Eltern.
fr,7,11,Races et prévention ciblée,prévention,La sélection du chiot est déjà une prévention.,Choisir des éleveurs qui testent les reproducteurs pour la dysplasie réduit significativement le risque.,Demandez à l'éleveur les certificats OFA ou PennHIP des parents avant de choisir.
it,7,12,Razze e prevenzione mirata,prevenzione,La radiografia precoce è un investimento per il futuro.,Identificare la displasia presto permette di agire prima che diventi artrosi conclamata.,Prenota una radiografia delle anche e dei gomiti tra i 12 e i 24 mesi.
en,7,12,Breeds and targeted prevention,prevention,Early X-ray is an investment for the future.,Identifying dysplasia early allows action before it becomes full-blown arthritis.,Book a hip and elbow X-ray between 12 and 24 months of age.
de,7,12,Rassen und gezielte Prävention,Prävention,Frühe Röntgenaufnahme ist eine Investition für die Zukunft.,Dysplasie frühzeitig zu erkennen ermöglicht Handeln bevor sie zu vollentwickelter Arthritis wird.,Buche eine Hüft- und Ellbogenröntgenaufnahme zwischen 12 und 24 Monaten.
fr,7,12,Races et prévention ciblée,prévention,La radiographie précoce est un investissement pour l'avenir.,Identifier la dysplasie tôt permet d'agir avant qu'elle devienne une arthrose déclarée.,Réservez une radiographie des hanches et des coudes entre 12 et 24 mois.
it,7,13,Razze e prevenzione mirata,prevenzione,Il peso nei cuccioli di razze grandi è critico.,La crescita troppo rapida stresa le articolazioni in formazione aumentando il rischio futuro.,Usa cibo specifico per razze grandi nei cuccioli e pesa ogni due settimane.
en,7,13,Breeds and targeted prevention,prevention,Weight in large breed puppies is critical.,Too rapid growth stresses forming joints increasing future risk.,Use large breed specific food in puppies and weigh every two weeks.
de,7,13,Rassen und gezielte Prävention,Prävention,Gewicht bei Großrassen-Welpen ist kritisch.,Zu schnelles Wachstum belastet sich bildende Gelenke und erhöht das zukünftige Risiko.,Verwende rassenspezifisches Futter für Großrassen-Welpen und wiege alle zwei Wochen.
fr,7,13,Races et prévention ciblée,prévention,Le poids chez les chiots de grandes races est critique.,Une croissance trop rapide stresse les articulations en formation augmentant le risque futur.,Utilisez une nourriture spécifique pour grandes races chez les chiots et pesez toutes les deux semaines.
it,7,14,Razze e prevenzione mirata,prevenzione,La regola dei 5 minuti per mese protegge i cuccioli.,Cinque minuti di esercizio per ogni mese di età è il limite da rispettare nei cuccioli.,Calcola il limite di esercizio per il tuo cucciolo e rispettalo rigorosamente.
en,7,14,Breeds and targeted prevention,prevention,The 5 minutes per month rule protects puppies.,Five minutes of exercise for every month of age is the limit to respect in puppies.,Calculate the exercise limit for your puppy and respect it rigorously.
de,7,14,Rassen und gezielte Prävention,Prävention,Die 5-Minuten-pro-Monat-Regel schützt Welpen.,Fünf Minuten Bewegung pro Lebensmonat ist das bei Welpen zu respektierende Limit.,Berechne das Bewegungslimit für deinen Welpen und halte es strikt ein.
fr,7,14,Races et prévention ciblée,prévention,La règle des 5 minutes par mois protège les chiots.,Cinq minutes d'exercice par mois d'âge est la limite à respecter chez les chiots.,Calculez la limite d'exercice pour votre chiot et respectez-la rigoureusement.
it,7,15,Razze e prevenzione mirata,prevenzione,I cani da sport e da lavoro hanno rischi speciali.,Agility flyball e canicross sollecitano intensamente le articolazioni nel tempo.,Integra un programma preventivo specifico nel piano sportivo del tuo cane.
en,7,15,Breeds and targeted prevention,prevention,Sport and working dogs have special risks.,Agility flyball and canicross intensely stress the joints over time.,Integrate a specific preventive programme into your dog's sports plan.
de,7,15,Rassen und gezielte Prävention,Prävention,Sport- und Arbeitshunde haben besondere Risiken.,Agility Flyball und Canicross belasten die Gelenke mit der Zeit intensiv.,Integriere ein spezifisches Präventionsprogramm in den Sportplan deines Hundes.
fr,7,15,Races et prévention ciblée,prévention,Les chiens de sport et de travail ont des risques particuliers.,L'agility le flyball et le canicross sollicitent intensément les articulations dans le temps.,Intégrez un programme préventif spécifique dans le plan sportif de votre chien.
it,7,16,Razze e prevenzione mirata,prevenzione,Conoscere la razza è il primo atto di prevenzione.,Ogni razza ha i suoi punti deboli articolari: ignorarli è un rischio evitabile.,Studia il profilo di salute articolare completo della tua razza oggi.
en,7,16,Breeds and targeted prevention,prevention,Knowing the breed is the first act of prevention.,Every breed has its joint weaknesses: ignoring them is an avoidable risk.,Study the complete joint health profile of your breed today.
de,7,16,Rassen und gezielte Prävention,Prävention,Die Rasse zu kennen ist der erste Präventionsakt.,Jede Rasse hat ihre Gelenkschwächen: sie zu ignorieren ist ein vermeidbares Risiko.,Studiere heute das vollständige Gelenkgesundheitsprofil deiner Rasse.
fr,7,16,Races et prévention ciblée,prévention,Connaître la race est le premier acte de prévention.,Chaque race a ses faiblesses articulaires: les ignorer est un risque évitable.,Étudiez aujourd'hui le profil de santé articulaire complet de votre race.
it,7,17,Razze e prevenzione mirata,prevenzione,La sterilizzazione può influenzare le articolazioni.,Alcune ricerche indicano impatti su displasia e artrosi legati al momento della sterilizzazione.,Discuti con il vet il momento ottimale per la sterilizzazione in relazione alla razza.
en,7,17,Breeds and targeted prevention,prevention,Sterilisation can influence the joints.,Some research indicates impacts on dysplasia and arthritis linked to the timing of sterilisation.,Discuss with the vet the optimal timing for sterilisation in relation to the breed.
de,7,17,Rassen und gezielte Prävention,Prävention,Sterilisation kann die Gelenke beeinflussen.,Einige Forschungen weisen auf Auswirkungen auf Dysplasie und Arthritis im Zusammenhang mit dem Sterilisationszeitpunkt hin.,Besprich mit dem Tierarzt den optimalen Zeitpunkt für die Sterilisation in Bezug auf die Rasse.
fr,7,17,Races et prévention ciblée,prévention,La stérilisation peut influencer les articulations.,Certaines recherches indiquent des impacts sur la dysplasie et l'arthrose liés au moment de la stérilisation.,Discutez avec le vétérinaire du moment optimal pour la stérilisation en relation avec la race.
it,7,18,Razze e prevenzione mirata,prevenzione,Il patrimonio genetico si studia prima dell'acquisto.,Prima di adottare o comprare studia la storia sanitaria della razza e dell'allevamento.,Fai ricerca approfondita sulle malattie ereditarie della razza prima di scegliere.
en,7,18,Breeds and targeted prevention,prevention,Genetic heritage is studied before purchase.,Before adopting or buying study the health history of the breed and breeder.,Do thorough research on hereditary diseases of the breed before choosing.
de,7,18,Rassen und gezielte Prävention,Prävention,Genetisches Erbe wird vor dem Kauf untersucht.,Bevor du adoptierst oder kaufst studiere die Gesundheitsgeschichte der Rasse und des Züchters.,Recherchiere gründlich über Erbkrankheiten der Rasse bevor du dich entscheidest.
fr,7,18,Races et prévention ciblée,prévention,Le patrimoine génétique s'étudie avant l'achat.,Avant d'adopter ou d'acheter étudiez l'historique de santé de la race et de l'éleveur.,Faites des recherches approfondies sur les maladies héréditaires de la race avant de choisir.
it,7,19,Razze e prevenzione mirata,prevenzione,Le razze brachicefale hanno problemi multipli da gestire.,Bulldog e pug soffrono spesso di problemi articolari e respiratori combinati.,Per le razze brachicefale la prevenzione articolare va pianificata insieme a quella respiratoria.
en,7,19,Breeds and targeted prevention,prevention,Brachycephalic breeds have multiple problems to manage.,Bulldogs and pugs often suffer from combined joint and respiratory problems.,For brachycephalic breeds joint prevention must be planned together with respiratory care.
de,7,19,Rassen und gezielte Prävention,Prävention,Brachyzephale Rassen haben mehrere Probleme zu bewältigen.,Bulldoggen und Mops leiden oft unter kombinierten Gelenk- und Atemproblemen.,Bei brachyzephalen Rassen muss die Gelenkprävention zusammen mit der Atemwegsversorgung geplant werden.
fr,7,19,Races et prévention ciblée,prévention,Les races brachycéphales ont de multiples problèmes à gérer.,Les bouledogues et les pugs souffrent souvent de problèmes articulaires et respiratoires combinés.,Pour les races brachycéphales la prévention articulaire doit être planifiée avec les soins respiratoires.
it,7,20,Razze e prevenzione mirata,prevenzione,Le razze toy soffrono spesso di lussazione della rotula.,Anche i cani piccoli hanno problemi articolari specifici che vanno monitorati.,Nei cani toy controlla le ginocchia con il vet fin dai primi mesi di vita.
en,7,20,Breeds and targeted prevention,prevention,Toy breeds often suffer from patella luxation.,Even small dogs have specific joint problems that need monitoring.,In toy dogs check the knees with the vet from the first months of life.
de,7,20,Rassen und gezielte Prävention,Prävention,Toy-Rassen leiden oft unter Patellaluxation.,Auch kleine Hunde haben spezifische Gelenkprobleme die überwacht werden müssen.,Bei Toy-Hunden überprüfe die Knie mit dem Tierarzt ab den ersten Lebensmonaten.
fr,7,20,Races et prévention ciblée,prévention,Les races toy souffrent souvent de luxation de la rotule.,Même les petits chiens ont des problèmes articulaires spécifiques qui doivent être surveillés.,Chez les chiens toy vérifiez les genoux avec le vétérinaire dès les premiers mois de vie.
it,7,21,Razze e prevenzione mirata,prevenzione,I cani nordici hanno struttura articolare generalmente robusta.,Husky e malamute sono robusti ma anche loro traggono beneficio dalla prevenzione.,Anche le razze robuste meritano un piano preventivo personalizzato.
en,7,21,Breeds and targeted prevention,prevention,Nordic dogs generally have a robust joint structure.,Huskies and malamutes are robust but they too benefit from prevention.,Even robust breeds deserve a personalised preventive plan.
de,7,21,Rassen und gezielte Prävention,Prävention,Nordische Hunde haben generell eine robuste Gelenkstruktur.,Huskies und Malamutes sind robust aber auch sie profitieren von Prävention.,Auch robuste Rassen verdienen einen personalisierten Präventionsplan.
fr,7,21,Races et prévention ciblée,prévention,Les chiens nordiques ont généralement une structure articulaire robuste.,Les huskies et les malamutes sont robustes mais eux aussi bénéficient de la prévention.,Même les races robustes méritent un plan préventif personnalisé.
it,7,22,Razze e prevenzione mirata,prevenzione,Il test di displasia è un regalo per il futuro del cane.,Farlo presto permette di pianificare meglio la vita e la prevenzione del cane.,Prenota i test di displasia con il vet entro il secondo anno di vita.
en,7,22,Breeds and targeted prevention,prevention,The dysplasia test is a gift for the dog's future.,Doing it early allows better planning of the dog's life and prevention.,Book dysplasia tests with the vet within the second year of life.
