language_code,month_num,day_num,theme_month,category,phrase,explanation,micro_action
it,4,1,Ambiente e comfort,ambiente,Il giaciglio giusto cambia tutto.,Un letto ortopedico riduce la pressione sulle articolazioni artrosiche e protegge quelle sane.,Valuta se il giaciglio attuale è adatto alla taglia e all'età del tuo cane.
en,4,1,Environment and comfort,environment,The right bed changes everything.,An orthopaedic bed reduces pressure on arthritic joints and protects healthy ones.,Assess whether the current bed is suitable for your dog's size and age.
de,4,1,Umgebung und Komfort,Umgebung,Das richtige Lager ändert alles.,Ein orthopädisches Bett reduziert den Druck auf arthritische Gelenke und schützt gesunde.,Beurteile ob das aktuelle Lager für Größe und Alter deines Hundes geeignet ist.
fr,4,1,Environnement et confort,environnement,Le bon couchage change tout.,Un lit orthopédique réduit la pression sur les articulations arthritiques et protège les saines.,Évaluez si le couchage actuel est adapté à la taille et à l'âge de votre chien.
it,4,2,Ambiente e comfort,ambiente,L'altezza della ciotola fa la differenza.,Mangiare e bere in posizione corretta riduce lo sforzo su collo e spalle nel cane artrosico.,Prova a rialzare le ciotole di qualche centimetro con un supporto.
en,4,2,Environment and comfort,environment,The height of the bowl makes a difference.,Eating and drinking in the correct position reduces effort on the neck and shoulders of the arthritic dog.,Try raising the bowls a few centimetres with a support.
de,4,2,Umgebung und Komfort,Umgebung,Die Höhe des Napfes macht einen Unterschied.,In richtiger Position zu fressen und trinken reduziert die Anstrengung am Hals und den Schultern des arthritischen Hundes.,Versuche die Näpfe mit einem Ständer einige Zentimeter zu erhöhen.
fr,4,2,Environnement et confort,environnement,La hauteur de la gamelle fait la différence.,Manger et boire dans la bonne position réduit l'effort sur le cou et les épaules du chien arthritique.,Essayez de surélever les gamelles de quelques centimètres avec un support.
it,4,3,Ambiente e comfort,ambiente,Le scale di casa possono essere un ostacolo.,Salire e scendere ripetutamente le scale aumenta il carico articolare anche nei cani giovani.,Valuta un cancelletto o una rampa per limitare l'accesso alle scale.
en,4,3,Environment and comfort,environment,Indoor stairs can be an obstacle.,Going up and down stairs repeatedly increases joint load even in young dogs.,Consider a gate or ramp to limit access to stairs.
de,4,3,Umgebung und Komfort,Umgebung,Treppen im Haus können ein Hindernis sein.,Wiederholt Treppen hoch- und runterzugehen erhöht die Gelenkbelastung auch bei jungen Hunden.,Erwäge ein Gitter oder eine Rampe um den Zugang zu Treppen zu begrenzen.
fr,4,3,Environnement et confort,environnement,Les escaliers intérieurs peuvent être un obstacle.,Monter et descendre les escaliers à répétition augmente la charge articulaire même chez les jeunes chiens.,Envisagez un portillon ou une rampe pour limiter l'accès aux escaliers.
