language_code,month_num,day_num,theme_month,category,phrase,explanation,micro_action
it,3,1,Alimentazione e peso sano,alimentazione,Il peso è la prima medicina.,Ogni chilo in eccesso moltiplica il carico sulle articolazioni: agire sul peso è la cura più accessibile.,Controlla il peso del tuo cane questa settimana.
en,3,1,Nutrition and healthy weight,nutrition,Weight is the first medicine.,Every excess kilo multiplies the load on the joints: acting on weight is the most accessible treatment.,Check your dog's weight this week.
de,3,1,Ernährung und gesundes Gewicht,Ernährung,Das Gewicht ist die erste Medizin.,Jedes überschüssige Kilo vervielfacht die Gelenkbelastung: am Gewicht zu arbeiten ist die zugänglichste Behandlung.,Überprüfe das Gewicht deines Hundes diese Woche.
fr,3,1,Alimentation et poids sain,alimentation,Le poids est le premier médicament.,Chaque kilo en excès multiplie la charge sur les articulations: agir sur le poids est le traitement le plus accessible.,Vérifiez le poids de votre chien cette semaine.
it,3,2,Alimentazione e peso sano,alimentazione,L'alimentazione influenza l'infiammazione.,Alcuni alimenti la aumentano altri la riducono: scegliere bene fa una differenza concreta.,Chiedi al vet un piano alimentare mirato per il tuo cane.
en,3,2,Nutrition and healthy weight,nutrition,Nutrition affects inflammation.,Some foods increase it others reduce it: choosing well makes a concrete difference.,Ask the vet for a targeted nutrition plan for your dog.
de,3,2,Ernährung und gesundes Gewicht,Ernährung,Ernährung beeinflusst Entzündungen.,Manche Lebensmittel erhöhen sie andere verringern sie: gut zu wählen macht einen konkreten Unterschied.,Bitte den Tierarzt um einen gezielten Ernährungsplan für deinen Hund.
fr,3,2,Alimentation et poids sain,alimentation,L'alimentation influence l'inflammation.,Certains aliments l'augmentent d'autres la réduisent: bien choisir fait une différence concrète.,Demandez au vétérinaire un plan alimentaire ciblé pour votre chien.
it,3,3,Alimentazione e peso sano,prevenzione,Le proteine mantengono i muscoli.,Muscoli forti proteggono le articolazioni: una dieta ricca di proteine di qualità è prevenzione attiva.,Verifica che il cibo del tuo cane contenga proteine di qualità come prima voce.
en,3,3,Nutrition and healthy weight,prevention,Proteins maintain muscles.,Strong muscles protect the joints: a diet rich in quality proteins is active prevention.,Check that your dog's food lists quality proteins as the first ingredient.
de,3,3,Ernährung und gesundes Gewicht,Prävention,Proteine erhalten Muskeln.,Starke Muskeln schützen die Gelenke: eine proteinreiche hochwertige Diät ist aktive Prävention.,Überprüfe ob das Futter deines Hundes hochwertiges Protein als erste Zutat aufführt.
fr,3,3,Alimentation et poids sain,prévention,Les protéines maintiennent les muscles.,Des muscles forts protègent les articulations: une alimentation riche en protéines de qualité est une prévention active.,Vérifiez que la nourriture de votre chien liste les protéines de qualité comme premier ingrédient.
it,3,4,Alimentazione e peso sano,prevenzione,L'omega-3 è un alleato naturale delle articolazioni.,Gli acidi grassi EPA e DHA riducono l'infiammazione articolare: utili sia in fase di malattia che di prevenzione.,Chiedi al vet se integrare con olio di pesce di qualità certificata.
en,3,4,Nutrition and healthy weight,prevention,Omega-3 is a natural joint ally.,EPA and DHA fatty acids reduce joint inflammation: useful both in disease and prevention.,Ask the vet about supplementing with certified quality fish oil.
