language_code,month_num,day_num,theme_month,category,phrase,explanation,micro_action
it,9,1,Il veterinario come alleato,veterinario,Il veterinario è il tuo alleato più importante.,Una relazione di fiducia con il vet è la base di ogni cura efficace e di ogni prevenzione riuscita.,Prenota una visita di conoscenza se hai cambiato veterinario di recente.
en,9,1,The vet as an ally,vet,The vet is your most important ally.,A trusting relationship with the vet is the foundation of every effective treatment and successful prevention.,Book a meet-and-greet visit if you have recently changed vet.
de,9,1,Der Tierarzt als Verbündeter,Tierarzt,Der Tierarzt ist dein wichtigster Verbündeter.,Eine Vertrauensbeziehung mit dem Tierarzt ist die Grundlage jeder wirksamen Behandlung und erfolgreichen Prävention.,Buche einen Kennenlerntermin wenn du kürzlich den Tierarzt gewechselt hast.
fr,9,1,Le vétérinaire comme allié,vétérinaire,Le vétérinaire est votre allié le plus important.,Une relation de confiance avec le vétérinaire est la base de tout traitement efficace et de toute prévention réussie.,Réservez une visite de présentation si vous avez récemment changé de vétérinaire.
it,9,2,Il veterinario come alleato,veterinario,Le visite semestrali sono il minimo per cani artrosici.,Il monitoraggio regolare permette di aggiustare la terapia in tempo e prevenire le crisi.,Prenota la prossima visita prima ancora di uscire dalla clinica oggi.
en,9,2,The vet as an ally,vet,Six-monthly visits are the minimum for arthritic dogs.,Regular monitoring allows therapy adjustment in time and crisis prevention.,Book the next visit before even leaving the clinic today.
de,9,2,Der Tierarzt als Verbündeter,Tierarzt,Halbjährliche Besuche sind das Minimum für Hunde mit Arthritis.,Regelmäßige Überwachung ermöglicht rechtzeitige Therapieanpassung und Krisenprävention.,Buche den nächsten Besuch bevor du heute die Klinik verlässt.
fr,9,2,Le vétérinaire comme allié,vétérinaire,Les visites semestrielles sont le minimum pour les chiens arthritiques.,Le suivi régulier permet d'ajuster la thérapie à temps et de prévenir les crises.,Réservez la prochaine visite avant même de quitter la clinique aujourd'hui.
it,9,3,Il veterinario come alleato,veterinario,Il diario dei sintomi rende la visita più produttiva.,Portare dati concreti e scritti aiuta il vet a fare diagnosi più precise e terapie più efficaci.,Inizia oggi un diario scritto dei sintomi quotidiani del tuo cane.
en,9,3,The vet as an ally,vet,The symptom diary makes the visit more productive.,Bringing concrete written data helps the vet make more precise diagnoses and more effective therapies.,Start a written diary of your dog's daily symptoms today.
de,9,3,Der Tierarzt als Verbündeter,Tierarzt,Das Symptomtagebuch macht den Besuch produktiver.,Konkrete schriftliche Daten mitzubringen hilft dem Tierarzt präzisere Diagnosen und wirksamere Therapien zu machen.,Beginne heute ein schriftliches Tagebuch der täglichen Symptome deines Hundes.
fr,9,3,Le vétérinaire comme allié,vétérinaire,Le journal des symptômes rend la visite plus productive.,Apporter des données concrètes et écrites aide le vétérinaire à faire des diagnostics plus précis et des thérapies plus efficaces.,Commencez aujourd'hui un journal écrit des symptômes quotidiens de votre chien.
it,9,4,Il veterinario come alleato,veterinario,Un video vale più di mille descrizioni verbali.,Filmare il cane mentre cammina o si alza con difficoltà aiuta enormemente la diagnosi.,Filma il cane la prossima volta che nota difficoltà di movimento e salvalo per il vet.
en,9,4,The vet as an ally,vet,A video is worth more than a thousand verbal descriptions.,Filming the dog while walking or getting up with difficulty enormously helps diagnosis.,Film the dog next time you notice movement difficulties and save it for the vet.
de,9,4,Der Tierarzt als Verbündeter,Tierarzt,Ein Video sagt mehr als tausend verbale Beschreibungen.,Den Hund beim Gehen oder beim schwierigen Aufstehen zu filmen hilft der Diagnose enorm.,Filme den Hund beim nächsten Mal wenn du Bewegungsschwierigkeiten bemerkst und speichere es für den Tierarzt.
fr,9,4,Le vétérinaire comme allié,vétérinaire,Une vidéo vaut plus que mille descriptions verbales.,Filmer le chien en train de marcher ou de se lever avec difficulté aide énormément le diagnostic.,Filmez le chien la prochaine fois que vous remarquez des difficultés de mouvement et sauvegardez-le pour le vétérinaire.
it,9,5,Il veterinario come alleato,veterinario,Le domande sono sempre benvenute dal vet.,Un buon veterinario apprezza i tutori informati e preparati: fare domande è un atto di cura.,Prepara una lista scritta di domande prima di ogni visita veterinaria.
en,9,5,The vet as an ally,vet,Questions are always welcome from the vet.,A good vet appreciates informed and prepared owners: asking questions is an act of care.,Prepare a written list of questions before every vet visit.
de,9,5,Der Tierarzt als Verbündeter,Tierarzt,Fragen sind beim Tierarzt immer willkommen.,Ein guter Tierarzt schätzt informierte und vorbereitete Besitzer: Fragen zu stellen ist ein Fürsorgeakt.,Bereite vor jedem Tierarztbesuch eine schriftliche Fragenliste vor.
